LocationAbbr,LocationDesc,Topic,Indicator,Data_Value_Type,Data_Value,Break_Out_Category,Break_Out,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,40.1,Age,35+,T14,NS011,Crude,BOC03,AGE07,59
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,30.4,Gender,Male,T14,NS011,Crude,BOC02,GEN01,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Overall,Overall,T9,NS012,Crude,BOC01,OVR01,9001
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,,Race,Other,T14,NS011,Crude,BOC04,RAC07,9001
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,23.4,Age,25-44,T15,NS010,Crude,BOC03,AGE04,9003
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,36.9,Gender,Female,T14,NS011,Crude,BOC02,GEN02,9002
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,8.3,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9002
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Gender,Male,T9,NS012,Crude,BOC02,GEN01,9002
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,18-24,T9,NS012,Crude,BOC03,AGE01,9003
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,90.7,Gender,Male,T9,NS012,Crude,BOC02,GEN01,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,21.4,Overall,Overall,T15,NS010,AgeStdz,BOC01,OVR01,9003
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,24.6,Age,25-44,T14,NS011,Crude,BOC03,AGE04,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,45-64,T9,NS012,Crude,BOC03,AGE05,59
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,25-44,T9,NS012,Crude,BOC03,AGE04,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Race,Hispanic,T9,NS013,AgeStdz,BOC04,RAC04,9003
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Gender,Male,T9,NS012,Crude,BOC02,GEN01,59
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,32.4,Gender,Male,T14,NS011,AgeStdz,BOC02,GEN01,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Black,T9,NS012,Crude,BOC04,RAC02,59
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,51.7,Race,Hispanic,T14,NS011,AgeStdz,BOC04,RAC04,59
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Asian,T9,NS012,Crude,BOC04,RAC03,9004
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,19.7,Age,25-44,T14,NS011,Crude,BOC03,AGE04,9004
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,29.4,Gender,Male,T14,NS011,Crude,BOC02,GEN01,9001
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,21.7,Race,Non-Hispanic Asian,T14,NS011,Crude,BOC04,RAC03,9002
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,65+,T9,NS012,Crude,BOC03,AGE06,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,25-44,T9,NS012,Crude,BOC03,AGE04,9004
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Other,T9,NS013,Crude,BOC04,RAC07,9002
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,19.4,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,9001
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,75+,T9,NS012,Crude,BOC03,AGE08,59
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Age,45-64,T9,NS013,Crude,BOC03,AGE05,9002
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,32.6,Gender,Male,T14,NS011,Crude,BOC02,GEN01,59
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,20.3,Gender,Male,T14,NS011,AgeStdz,BOC02,GEN01,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Non-Hispanic White,T9,NS013,Crude,BOC04,RAC01,59
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Race,Non-Hispanic White,T9,NS013,AgeStdz,BOC04,RAC01,59
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS013,AgeStdz,BOC02,GEN01,9004
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,23.8,Overall,Overall,T14,NS011,AgeStdz,BOC01,OVR01,9004
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,43.7,Overall,Overall,T14,NS011,AgeStdz,BOC01,OVR01,9003
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,32.5,Age,65+,T14,NS011,Crude,BOC03,AGE06,9004
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,22.0,Overall,Overall,T15,NS010,AgeStdz,BOC01,OVR01,9002
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,12.4,Gender,Female,T15,NS010,Crude,BOC02,GEN02,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,21.9,Age,18-24,T15,NS010,Crude,BOC03,AGE01,9001
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic White,T9,NS012,AgeStdz,BOC04,RAC01,9004
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,25.6,Race,Non-Hispanic White,T14,NS011,AgeStdz,BOC04,RAC01,9004
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,39.8,Race,Hispanic,T14,NS011,AgeStdz,BOC04,RAC04,9002
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,95.7,Age,75+,T9,NS013,Crude,BOC03,AGE08,9003
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,39.8,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,59
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,24.8,Race,Other,T14,NS011,AgeStdz,BOC04,RAC07,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Gender,Female,T9,NS012,Crude,BOC02,GEN02,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Gender,Female,T9,NS013,Crude,BOC02,GEN02,9001
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Other,T9,NS013,Crude,BOC04,RAC07,9004
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,9.0,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,59
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,29.4,Age,18-24,T14,NS011,Crude,BOC03,AGE01,59
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,43.9,Gender,Female,T14,NS011,Crude,BOC02,GEN02,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Gender,Female,T9,NS012,Crude,BOC02,GEN02,9001
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,11.2,Race,Non-Hispanic Asian,T15,NS010,AgeStdz,BOC04,RAC03,9004
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,83.7,Race,Other,T9,NS012,Crude,BOC04,RAC07,9003
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,31.3,Gender,Female,T14,NS011,AgeStdz,BOC02,GEN02,9003
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Gender,Male,T9,NS013,Crude,BOC02,GEN01,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Gender,Female,T9,NS012,Crude,BOC02,GEN02,59
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,38.0,Race,Other,T15,NS010,AgeStdz,BOC04,RAC07,9003
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,19.9,Race,Non-Hispanic Black,T15,NS010,Crude,BOC04,RAC02,9002
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,10.2,Age,65+,T15,NS010,Crude,BOC03,AGE06,9003
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,29.4,Race,Non-Hispanic White,T14,NS011,AgeStdz,BOC04,RAC01,9001
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,75+,T9,NS012,Crude,BOC03,AGE08,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,7.0,Age,65+,T15,NS010,Crude,BOC03,AGE06,9001
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,40.5,Race,Non-Hispanic White,T14,NS011,AgeStdz,BOC04,RAC01,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,94.5,Gender,Female,T9,NS012,Crude,BOC02,GEN02,9001
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,18-24,T9,NS012,Crude,BOC03,AGE01,59
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic Asian,T9,NS012,AgeStdz,BOC04,RAC03,9004
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Asian,T9,NS012,Crude,BOC04,RAC03,9004
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,12.5,Overall,Overall,T15,NS010,AgeStdz,BOC01,OVR01,9004
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Age,65+,T9,NS013,Crude,BOC03,AGE06,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS012,AgeStdz,BOC02,GEN01,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,95.5,Race,Non-Hispanic White,T9,NS012,Crude,BOC04,RAC01,9001
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,32.1,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9004
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,12.0,Race,Non-Hispanic Asian,T15,NS010,AgeStdz,BOC04,RAC03,9003
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,31.8,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,9002
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,29.8,Race,Other,T14,NS011,AgeStdz,BOC04,RAC07,9002
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Hispanic,T9,NS012,AgeStdz,BOC04,RAC04,9003
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,17.8,Gender,Female,T15,NS010,Crude,BOC02,GEN02,9002
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,21.3,Age,18-24,T15,NS010,Crude,BOC03,AGE01,59
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,14.8,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,22.7,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9003
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,42.0,Race,Hispanic,T14,NS011,AgeStdz,BOC04,RAC04,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Age,45-64,T9,NS013,Crude,BOC03,AGE05,9004
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,25.9,Overall,Overall,T14,NS011,AgeStdz,BOC01,OVR01,59
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,65+,T9,NS012,Crude,BOC03,AGE06,9002
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,11.2,Overall,Overall,T15,NS010,Crude,BOC01,OVR01,9001
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,51.1,Race,Hispanic,T14,NS011,AgeStdz,BOC04,RAC04,9004
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,90.4,Overall,Overall,T9,NS012,AgeStdz,BOC01,OVR01,9003
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,57.8,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,16.7,Age,18-24,T15,NS010,Crude,BOC03,AGE01,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9001
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,37.7,Race,Non-Hispanic Asian,T14,NS011,Crude,BOC04,RAC03,9001
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic White,T9,NS012,AgeStdz,BOC04,RAC01,59
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,41.9,Gender,Male,T14,NS011,AgeStdz,BOC02,GEN01,9003
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,95.8,Gender,Female,T9,NS013,AgeStdz,BOC02,GEN02,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS012,AgeStdz,BOC02,GEN01,9004
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS013,AgeStdz,BOC02,GEN01,9004
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS012,AgeStdz,BOC02,GEN01,9004
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Overall,Overall,T9,NS012,AgeStdz,BOC01,OVR01,9001
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,45-64,T9,NS012,Crude,BOC03,AGE05,9003
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Race,Other,T9,NS013,AgeStdz,BOC04,RAC07,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Other,T9,NS012,Crude,BOC04,RAC07,9001
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,52.5,Age,65+,T14,NS011,Crude,BOC03,AGE06,59
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,12.3,Race,Non-Hispanic White,T15,NS010,Crude,BOC04,RAC01,9004
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Hispanic,T9,NS012,Crude,BOC04,RAC04,9003
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,18.5,Race,Non-Hispanic White,T14,NS011,AgeStdz,BOC04,RAC01,9004
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,25-44,T9,NS012,Crude,BOC03,AGE04,9002
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,22.9,Race,Non-Hispanic Black,T15,NS010,Crude,BOC04,RAC02,9003
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,29.4,Race,Non-Hispanic White,T14,NS011,AgeStdz,BOC04,RAC01,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,94.4,Gender,Female,T9,NS012,AgeStdz,BOC02,GEN02,9001
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Black,T9,NS012,Crude,BOC04,RAC02,9002
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Other,T9,NS013,Crude,BOC04,RAC07,9001
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,29.6,Race,Other,T15,NS010,Crude,BOC04,RAC07,9002
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,20.8,Gender,Female,T15,NS010,AgeStdz,BOC02,GEN02,59
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,32.3,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,9002
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,94.1,Age,18-24,T9,NS013,Crude,BOC03,AGE01,9003
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,52.3,Race,Hispanic,T14,NS011,AgeStdz,BOC04,RAC04,9003
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS012,AgeStdz,BOC02,GEN01,59
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,39.5,Age,75+,T14,NS011,Crude,BOC03,AGE08,9004
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,92.9,Race,Other,T9,NS013,AgeStdz,BOC04,RAC07,9004
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,,Race,Other,T15,NS010,Crude,BOC04,RAC07,9001
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,44.8,Race,Hispanic,T14,NS011,AgeStdz,BOC04,RAC04,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Hispanic,T9,NS012,AgeStdz,BOC04,RAC04,59
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Other,T9,NS012,Crude,BOC04,RAC07,9001
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,82.6,Race,Hispanic,T9,NS013,Crude,BOC04,RAC04,59
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,28.2,Age,25-44,T14,NS011,Crude,BOC03,AGE04,9002
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,30.6,Gender,Male,T14,NS011,AgeStdz,BOC02,GEN01,9003
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Overall,Overall,T9,NS012,Crude,BOC01,OVR01,59
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,8.9,Race,Non-Hispanic Asian,T15,NS010,AgeStdz,BOC04,RAC03,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,5.3,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9003
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,23.6,Race,Non-Hispanic Black,T15,NS010,AgeStdz,BOC04,RAC02,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic White,T9,NS012,Crude,BOC04,RAC01,9004
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,35.6,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9003
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,35.8,Race,Other,T14,NS011,Crude,BOC04,RAC07,59
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,17.6,Gender,Female,T15,NS010,AgeStdz,BOC02,GEN02,59
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,35+,T9,NS012,Crude,BOC03,AGE07,59
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Black,T9,NS012,Crude,BOC04,RAC02,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Hispanic,T9,NS012,AgeStdz,BOC04,RAC04,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,45-64,T9,NS012,Crude,BOC03,AGE05,9003
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,75+,T9,NS012,Crude,BOC03,AGE08,9002
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,39.6,Race,Other,T15,NS010,Crude,BOC04,RAC07,9002
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,15.4,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9002
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,18-24,T9,NS012,Crude,BOC03,AGE01,9001
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,42.6,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,9003
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,16.8,Overall,Overall,T15,NS010,AgeStdz,BOC01,OVR01,9001
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,79.6,Age,18-24,T9,NS013,Crude,BOC03,AGE01,9004
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,30.3,Gender,Male,T14,NS011,Crude,BOC02,GEN01,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,15.8,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic White,T9,NS012,AgeStdz,BOC04,RAC01,9003
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,12.0,Race,Hispanic,T15,NS010,AgeStdz,BOC04,RAC04,9001
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,21.0,Race,Other,T15,NS010,Crude,BOC04,RAC07,9004
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,13.3,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9001
